"﻿CustomersID","Given Name","Name","Gender","Postal Code","E-Mail","Tel Number","Age","target group","age group"
"2000100","Giulia ","Ziegler","female","3404","GZiegler@gmail.com","0676 / ***","38","High Budget","30-50"
"2000101","Mila ","Koch","female","1120","MKoch@gmail.com","0664 / ***","67","High Budget","50+"
"2000102","Ryan ","Winter","male","3404","RWinter@gmail.com","0680 / ***","48","High Budget","30-50"
"2000103","Sofia ","Fuchs","female","1120","SFuchs@gmail.com","0664 / ***","48","High Budget","30-50"
"2000104","Ajan ","Haas","male","1120","AHaas@gmail.com","0664 / ***","46","High Budget","30-50"
"2000105","Laurin ","Bauer","male","1120","LBauer@gmail.com","0664 / ***","62","High Budget","50+"
"2000106","Paula ","Frank","female","1120","PFrank@gmail.com","0664 / ***","58","Low Budget","50+"
"2000107","Marco ","Ludwig","male","3404","MLudwig@gmail.com","0650 / ***","46","Low Budget","30-50"
"2000108","Louis ","Schreiber","male","3404","LSchreiber@gmail.com","0680 / ***","62","Low Budget","50+"
"2000109","Livia ","Voigt","female","1120","LVoigt@gmail.com","0664 / ***","54","High Budget","50+"
"2000110","Ela ","Schulte","female","3404","ESchulte@gmail.com","0650 / ***","55","High Budget","50+"
"2000111","Lorenzo ","Friedrich","male","3404","LFriedrich@gmail.com","0676 / ***","49","High Budget","30-50"
"2000112","Juna ","Huber","female","1120","JHuber@gmail.com","0664 / ***","65","High Budget","50+"
"2000113","Jason ","Engel","male","3404","JEngel@gmail.com","0650 / ***","69","High Budget","50+"
"2000114","Lou ","Schäfer","female","1120","LSchäfer@gmail.com","0664 / ***","50","Low Budget","50+"
"2000115","Livio ","Lorenz","male","3404","LLorenz@gmail.com","0650 / ***","38","Low Budget","30-50"
"2000116","Sarah ","Bauer","female","1120","SBauer@gmail.com","0664 / ***","49","High Budget","30-50"
"2000117","Julie ","Ziegler","female","1120","JZiegler@gmail.com","0664 / ***","41","Low Budget","30-50"
"2000118","Rayan ","Hartmann","male","3404","RHartmann@gmail.com","0699 / ***","53","Low Budget","50+"
"2000119","Adrian ","Müller","male","1120","AMüller@gmail.com","0664 / ***","60","High Budget","50+"
"2000120","Alessio ","Stein","male","3404","AStein@gmail.com","0680 / ***","33","High Budget","30-50"
"2000121","Laura ","Engel","female","3404","LEngel@gmail.com","0676 / ***","38","Low Budget","30-50"
"2000122","Jael ","Müller","female","3404","JMüller@gmail.com","0650 / ***","35","Low Budget","30-50"
"2000123","Naomi ","Braun","female","3404","NBraun@gmail.com","0664 / ***","53","High Budget","50+"
"2000124","Olivia ","Hoffmann","female","3404","OHoffmann@gmail.com","0664 / ***","40","Low Budget","30-50"
"2000125","Emil ","Engel","male","3404","EEngel@gmail.com","0680 / ***","51","Low Budget","50+"
"2000126","Aylin ","Schäfer","female","3404","ASchäfer@gmail.com","0664 / ***","61","Low Budget","50+"
"2000127","Alexander ","Schäfer","male","3404","ASchäfer@gmail.com","0650 / ***","60","High Budget","50+"
"2000128","Fabio ","Stein","male","3404","FStein@gmail.com","0699 / ***","67","High Budget","50+"
"2000129","Dylan ","Schumacher","male","3404","DSchumacher@gmail.com","0665 / ***","49","Low Budget","30-50"
"2000130","Julian ","Jung","male","3404","JJung@gmail.com","0699 / ***","56","High Budget","50+"
"2000131","Jonas ","Günther","male","3404","JGünther@gmail.com","0676 / ***","38","High Budget","30-50"
"2000132","Aline ","Schmitz","female","3404","ASchmitz@gmail.com","0699 / ***","53","High Budget","50+"
"2000133","Anna ","Kuhn","female","3404","AKuhn@gmail.com","0650 / ***","37","Low Budget","30-50"
"2000134","Jara ","König","female","3404","JKönig@gmail.com","0664 / ***","37","Low Budget","30-50"
"2000135","Loris ","Müller","male","3404","LMüller@gmail.com","0699 / ***","42","Low Budget","30-50"
"2000136","Eline ","König","female","3404","EKönig@gmail.com","0650 / ***","53","Low Budget","50+"
"2000137","Lea ","Stein","female","3404","LStein@gmail.com","0650 / ***","31","High Budget","30-50"
"2000138","Jason ","Simon","male","3404","JSimon@gmail.com","0664 / ***","52","High Budget","50+"
